,CurrentTree,Random,Uniform,Actuated
0,266,654,760,485
1,267,630,488,558
2,277,758,519,479
3,276,667,428,462
4,262,644,478,488
5,266,786,414,475
6,268,613,442,461
7,275,568,430,439
8,266,648,543,486
9,262,643,471,427
10,268,733,576,441
11,269,621,504,1007
12,267,593,413,421
13,268,634,465,470
14,260,746,445,421
15,279,553,473,422
16,473,636,527,477
17,263,716,452,486
18,271,698,434,407
19,266,874,502,478 
