,CurrentTree,Random,Uniform,Actuated
0,267,499,445,315
1,261,511,464,327
2,264,475,441,358
3,266,417,429,339
4,266,545,442,330
5,271,605,440,344
6,262,490,431,333
7,260,531,452,329
8,264,524,441,349
9,264,465,444,331
10,256,530,478,321
11,258,479,432,316
12,264,565,449,333
13,258,509,421,315
14,260,415,434,340
15,262,792,465,338
16,256,553,437,343
17,254,597,440,324
18,254,824,471,319
19,263,884,439,343
