,CurrentTreeDvd,SUMOActuated,Random,Uniform
0,407,679,694,603
1,568,637,816,615
2,323,661,1096,592
3,420,601,680,578
4,421,603,690,599
5,344,650,717,622
6,329,634,787,605
7,331,646,730,621
8,358,655,710,598
9,331,653,701,602
10,357,653,836,619
11,344,644,688,607
12,326,621,647,596
13,380,651,709,593
14,379,638,774,596
15,337,639,662,597
16,377,610,693,577
17,330,623,744,603
18,351,677,732,596
19,397,638,691,661
