,CurrentTree,Random,Uniform,Actuated
0,429,802,585,631
1,367,694,682,681
2,389,1031,606,687
3,405,689,661,709
4,354,1004,658,748
5,360,821,606,631
6,463,691,607,676
7,381,666,668,654
8,537,893,549,688
9,414,716,648,623
10,353,701,611,733
11,473,826,607,759
12,347,746,565,640
13,432,677,585,674
14,351,808,628,640
15,534,822,618,634
16,343,740,607,714
17,359,769,706,629
18,404,1040,616,742
19,392,931,737,649
