,CurrentTree,Random,Uniform,Actuated
0,407,694,603,679
1,402,701,610,613
2,323,723,592,661
3,420,717,578,601
4,421,666,599,603
5,344,670,622,650
6,329,938,605,634
7,331,678,621,646
8,358,755,598,655
9,331,636,602,653
10,357,930,619,653
11,344,707,607,644
12,326,700,596,621
13,380,737,593,651
14,379,708,596,638
15,337,647,597,639
16,377,675,577,610
17,330,664,603,623
18,351,682,596,677
19,397,732,661,638
